date,open,high,low,close,Adj Close,volume
2018-02-26,129.0,131.0,125.5,126.94999694824219,125.61613464355469,68479
2018-02-27,128.0,128.0,123.0,123.80000305175781,122.49922943115234,97642
2018-02-28,124.69999694824219,126.5,122.0,125.80000305175781,124.47821807861328,262267
2018-03-01,126.9000015258789,126.9000015258789,120.5,121.0,119.72865295410156,306952
2018-03-02,120.9000015258789,120.9000015258789,115.30000305175781,118.05000305175781,116.80964660644531,201143
2018-03-05,120.0,122.0,117.9000015258789,119.44999694824219,118.19493103027344,43762
2018-03-06,120.0,122.5,120.0,120.9000015258789,119.62970733642578,102654
2018-03-07,120.9000015258789,120.9000015258789,115.30000305175781,119.05000305175781,117.79914093017578,27609
2018-03-08,120.0,123.0,114.55000305175781,116.30000305175781,115.07803344726562,138028
2018-03-09,117.0,120.5,116.30000305175781,119.9000015258789,118.64020538330078,93990
2018-03-12,120.55000305175781,124.0,120.5,122.0999984741211,120.81709289550781,71847
2018-03-13,122.0999984741211,122.5,121.0,121.6500015258789,120.37181854248047,29486
2018-03-14,121.1500015258789,124.0,121.1500015258789,123.3499984741211,122.05396270751953,33400
2018-03-15,124.0,127.0,122.9000015258789,125.05000305175781,123.73609924316406,103157
2018-03-16,128.14999389648438,128.5,123.0,124.05000305175781,122.7466049194336,32059
2018-03-19,124.0,124.0,119.0,119.4000015258789,118.14546203613281,76432
2018-03-20,119.5,122.19999694824219,119.5,121.9000015258789,120.61919403076172,57189
2018-03-21,121.80000305175781,125.4000015258789,121.69999694824219,124.9000015258789,123.5876693725586,68185
2018-03-22,124.5,124.5,121.0,121.69999694824219,120.42129516601562,82865
2018-03-23,120.0,122.0,120.0,121.0,119.72865295410156,19641
2018-03-26,122.0,125.0,121.5,123.4000015258789,122.10343933105469,51753
2018-03-27,123.44999694824219,124.0,122.0,122.0,120.71814727783203,80559
2018-03-28,121.0,123.0,121.0,122.1500015258789,120.86656951904297,33006
2018-04-03,122.0,127.0,122.0,126.25,124.9234848022461,80007
2018-04-04,126.44999694824219,127.0,124.1500015258789,125.3499984741211,124.03294372558594,64164
2018-04-05,125.0,126.5,124.75,125.80000305175781,124.47821807861328,90911
2018-04-06,126.5,126.5,123.80000305175781,124.0,122.69712829589844,17460
2018-04-09,125.0,125.5,122.0,122.55000305175781,121.26236724853516,19457
2018-04-10,123.55000305175781,126.5,123.55000305175781,125.0999984741211,123.78556823730469,75412
2018-04-11,123.9000015258789,126.0,122.3499984741211,123.30000305175781,122.00448608398438,56995
2018-04-12,123.30000305175781,126.5,123.30000305175781,125.5999984741211,124.28031921386719,66974
2018-04-13,122.0999984741211,124.5,122.0999984741211,123.8499984741211,122.54869842529297,32463
2018-04-16,126.0,126.0,121.5,121.75,120.47077178955078,16749
2018-04-17,121.0,122.5,121.0,122.19999694824219,120.9160385131836,116105
2018-04-18,122.19999694824219,122.19999694824219,121.0,121.05000305175781,119.77812957763672,42930
2018-04-19,120.0,120.0,115.9000015258789,116.5,115.27593231201172,242479
2018-04-20,118.5,118.5,114.80000305175781,116.44999694824219,115.22645568847656,79200
2018-04-23,117.0,117.44999694824219,115.0,115.5,114.28643798828125,21816
2018-04-24,115.44999694824219,116.5,114.9000015258789,115.5,114.28643798828125,67359
2018-04-25,112.5,112.5,109.0,110.0,108.84422302246094,237588
2018-04-26,110.0,111.0,108.0,110.8499984741211,109.68529510498047,176033
2018-04-27,110.0,116.4000015258789,109.0,113.5,112.30745697021484,121218
2018-05-02,112.5999984741211,112.5999984741211,106.0,107.75,106.61786651611328,104373
2018-05-03,107.0,107.0,103.0,105.80000305175781,104.68836212158203,178160
2018-05-04,106.0,107.0,100.0,102.0,100.92828369140625,181006
2018-05-07,100.94999694824219,101.5,94.94999694824219,95.19999694824219,94.1997299194336,94626
2018-05-08,93.9000015258789,97.0,85.0999984741211,95.55000305175781,94.54605865478516,383261
2018-05-09,96.0,104.75,96.0,104.5,103.40201568603516,105327
2018-05-10,106.0,107.0,102.5,106.4000015258789,105.28205108642578,172253
2018-05-11,106.5,109.5,98.5,102.0,100.92828369140625,108382
2018-05-14,101.9000015258789,101.9000015258789,96.5,97.5999984741211,96.57450866699219,176930
2018-05-15,97.5,105.5,96.8499984741211,97.0999984741211,96.07977294921875,399338
2018-05-16,100.0,102.0,97.0,99.80000305175781,98.75139617919922,453088
2018-05-17,100.94999694824219,103.4000015258789,99.0,102.8499984741211,102.31639862060547,380969
2018-05-18,105.94999694824219,105.94999694824219,100.5,101.9000015258789,101.9000015258789,453245
2018-05-21,101.0,101.0,98.0,100.30000305175781,100.30000305175781,243016
2018-05-22,98.5,98.5,91.0,92.19999694824219,92.19999694824219,1035526
2018-05-23,90.0,92.5999984741211,88.5,89.5999984741211,89.5999984741211,318149
2018-05-24,89.5,91.30000305175781,88.5,88.6500015258789,88.6500015258789,195087
2018-05-28,88.6500015258789,89.0,84.9000015258789,85.44999694824219,85.44999694824219,84191
2018-05-29,85.0,86.0,82.5,83.19999694824219,83.19999694824219,123712
2018-05-30,84.9000015258789,86.0,82.30000305175781,82.5,82.5,103737
2018-05-31,84.0999984741211,87.0,83.0999984741211,86.4000015258789,86.4000015258789,108261
2018-06-01,88.9000015258789,88.9000015258789,83.30000305175781,85.6500015258789,85.6500015258789,172972
2018-06-04,88.05000305175781,90.5,86.0,90.0999984741211,90.0999984741211,205400
2018-06-05,93.3499984741211,98.0,93.0,97.5,97.5,569195
2018-06-06,99.0,99.5,97.0,97.3499984741211,97.3499984741211,434284
2018-06-07,97.0999984741211,97.0999984741211,91.0999984741211,94.55000305175781,94.55000305175781,339450
2018-06-08,101.5,102.0,95.0,98.44999694824219,98.44999694824219,391536
2018-06-11,98.5,102.0,98.5,99.6500015258789,99.6500015258789,226965
2018-06-12,100.94999694824219,100.94999694824219,94.1500015258789,94.55000305175781,94.55000305175781,188636
2018-06-13,93.0,93.0,87.94999694824219,88.9000015258789,88.9000015258789,548318
2018-06-14,89.0,90.69999694824219,83.5,84.1500015258789,84.1500015258789,498802
2018-06-15,84.94999694824219,84.94999694824219,81.0,83.44999694824219,83.44999694824219,464911
2018-06-18,81.0,81.0,72.80000305175781,73.5999984741211,73.5999984741211,680160
2018-06-19,75.0,78.9000015258789,75.0,78.4000015258789,78.4000015258789,909579
2018-06-21,88.0,91.0,82.5,83.6500015258789,83.6500015258789,3079514
2018-06-22,84.0,84.0,76.55000305175781,77.05000305175781,77.05000305175781,1373216
2018-06-25,74.5,74.5,67.0,67.19999694824219,67.19999694824219,1646933
2018-06-26,67.69999694824219,71.0,65.5,66.19999694824219,66.19999694824219,1789221
2018-06-27,63.75,64.0,56.0,57.150001525878906,57.150001525878906,1787118
2018-06-28,58.5,62.400001525878906,56.75,61.5,61.5,1654530
2018-06-29,60.0,62.400001525878906,57.20000076293945,61.599998474121094,61.599998474121094,1118911
2018-07-02,60.0,63.95000076293945,58.0,63.349998474121094,63.349998474121094,895506
2018-07-03,65.0,71.5,65.0,71.30000305175781,71.30000305175781,1573229
2018-07-04,72.5,73.0,70.0,72.94999694824219,72.94999694824219,209984
2018-07-05,69.8499984741211,76.8499984741211,67.8499984741211,73.0999984741211,73.0999984741211,993689
2018-07-06,73.9000015258789,74.94999694824219,70.75,71.6500015258789,71.6500015258789,431878
2018-07-10,74.0,74.5,70.25,70.30000305175781,70.30000305175781,164316
2018-07-11,70.0999984741211,71.1500015258789,68.55000305175781,70.1500015258789,70.1500015258789,141627
2018-07-12,71.5,72.4000015258789,66.19999694824219,67.19999694824219,67.19999694824219,481681
2018-07-13,67.94999694824219,67.94999694824219,64.0,64.30000305175781,64.30000305175781,228797
2018-07-16,64.5,66.0,62.0,64.0,64.0,192460
2018-07-17,64.0,66.5,62.400001525878906,64.19999694824219,64.19999694824219,485342
2018-07-18,64.9000015258789,65.5,63.79999923706055,65.3499984741211,65.3499984741211,637397
2018-07-19,64.0999984741211,64.0999984741211,62.5,62.75,62.75,462027
2018-07-20,63.04999923706055,64.5,62.400001525878906,63.849998474121094,63.849998474121094,581815
2018-07-23,63.400001525878906,63.849998474121094,62.599998474121094,62.900001525878906,62.900001525878906,394279
2018-07-24,64.1500015258789,65.9000015258789,64.1500015258789,65.44999694824219,65.44999694824219,565810
2018-07-25,67.0,71.80000305175781,66.5,71.69999694824219,71.69999694824219,1220077
2018-07-26,71.0,73.69999694824219,70.8499984741211,72.69999694824219,72.69999694824219,724118
2018-07-27,74.19999694824219,75.19999694824219,71.05000305175781,74.25,74.25,531749
2018-07-30,74.4000015258789,74.9000015258789,72.0,72.44999694824219,72.44999694824219,348780
2018-07-31,73.25,75.0,73.0,74.5,74.5,624747
2018-08-01,74.44999694824219,75.80000305175781,73.0,75.44999694824219,75.44999694824219,169006
2018-08-02,73.94999694824219,75.5,72.0,72.19999694824219,72.19999694824219,365555
2018-08-03,73.0,74.0999984741211,72.30000305175781,72.69999694824219,72.69999694824219,153429
2018-08-06,72.0,73.5,71.05000305175781,72.4000015258789,72.4000015258789,145850
2018-08-07,71.0,71.94999694824219,68.0,68.25,68.25,170399
2018-08-08,67.5,67.55000305175781,64.30000305175781,64.69999694824219,64.69999694824219,181586
2018-08-09,64.44999694824219,68.0,63.5,66.1500015258789,66.1500015258789,207868
2018-08-10,63.900001525878906,66.0,61.599998474121094,65.1500015258789,65.1500015258789,360803
2018-08-13,63.75,63.75,59.70000076293945,60.599998474121094,60.599998474121094,608919
2018-08-14,61.70000076293945,63.0,58.599998474121094,61.54999923706055,61.54999923706055,718158
2018-08-15,59.900001525878906,63.5,59.099998474121094,61.75,61.75,592571
2018-08-16,61.5,63.400001525878906,59.0,60.150001525878906,60.150001525878906,679401
2018-08-17,57.150001525878906,57.5,55.5,56.5,56.5,531251
2018-08-21,55.900001525878906,55.900001525878906,53.79999923706055,54.150001525878906,54.150001525878906,622259
2018-08-22,53.650001525878906,57.29999923706055,53.0,57.20000076293945,57.20000076293945,643426
2018-08-23,57.0,58.150001525878906,54.70000076293945,55.25,55.25,348900
2018-08-24,52.5,52.5,38.150001525878906,38.400001525878906,38.400001525878906,12622518
2018-08-27,37.900001525878906,40.5,37.400001525878906,38.20000076293945,38.20000076293945,5853797
2018-08-28,37.0,38.150001525878906,35.5,37.95000076293945,37.95000076293945,2144648
