date,open,high,low,close,Adj Close,volume
2018-02-26,133.0,133.0,127.30000305175781,129.0500030517578,128.10655212402344,515418
2018-02-27,129.0500030517578,131.0,125.5999984741211,126.80000305175781,125.87300109863281,388173
2018-02-28,127.19999694824219,130.0,126.4000015258789,129.10000610351562,128.15618896484375,520832
2018-03-01,128.60000610351562,128.60000610351562,121.55000305175781,123.69999694824219,122.795654296875,346472
2018-03-02,123.69999694824219,123.94999694824219,120.0,122.94999694824219,122.05113983154297,680681
2018-03-05,123.0,125.0,123.0,124.05000305175781,123.14310455322266,334602
2018-03-06,127.44999694824219,129.0,125.0,127.80000305175781,126.86569213867188,357811
2018-03-07,127.0,127.25,124.55000305175781,125.55000305175781,124.63214111328125,213088
2018-03-08,126.0,127.94999694824219,124.0,125.1500015258789,124.23506164550781,213602
2018-03-09,126.0,131.0,126.0,129.6999969482422,128.75180053710938,365783
2018-03-12,133.5,136.39999389648438,133.0,135.5500030517578,134.5590362548828,838448
2018-03-13,134.9499969482422,135.0,132.0,132.25,131.2831573486328,433849
2018-03-14,132.25,133.0,131.5,131.89999389648438,130.93569946289062,256169
2018-03-15,132.10000610351562,133.8000030517578,131.8000030517578,132.3000030517578,131.33279418945312,342668
2018-03-16,133.10000610351562,134.89999389648438,131.5500030517578,132.25,131.2831573486328,394650
2018-03-19,132.0,132.25,127.19999694824219,127.5,126.56787872314453,339342
2018-03-20,128.0500030517578,131.85000610351562,128.0500030517578,130.60000610351562,129.6452178955078,194204
2018-03-21,129.85000610351562,133.5,127.3499984741211,133.39999389648438,132.42474365234375,303225
2018-03-22,131.9499969482422,132.9499969482422,130.6999969482422,131.4499969482422,130.48899841308594,237935
2018-03-23,130.60000610351562,131.0,127.5,128.14999389648438,127.21311950683594,296037
2018-03-26,128.60000610351562,130.5,128.5500030517578,130.25,129.2977752685547,365584
2018-03-27,131.0500030517578,134.3000030517578,131.0,131.64999389648438,130.68753051757812,485064
2018-03-28,132.0,132.89999389648438,129.60000610351562,131.3000030517578,130.34010314941406,252791
2018-04-03,132.0,134.5,132.0,134.0,133.02035522460938,226990
2018-04-04,132.0,134.5,130.14999389648438,133.9499969482422,132.97071838378906,170595
2018-04-05,134.10000610351562,135.89999389648438,133.1999969482422,134.5500030517578,133.56634521484375,246133
2018-04-06,134.35000610351562,134.9499969482422,133.60000610351562,134.4499969482422,133.46707153320312,153641
2018-04-09,134.4499969482422,135.5,133.35000610351562,133.8000030517578,132.8218231201172,144672
2018-04-10,135.14999389648438,136.6999969482422,135.0,135.6999969482422,134.7079315185547,178743
2018-04-11,134.4499969482422,135.39999389648438,132.25,132.6999969482422,131.7298583984375,228597
2018-04-12,132.10000610351562,135.89999389648438,132.10000610351562,134.89999389648438,133.9137725830078,300372
2018-04-13,135.0,135.0,132.0,132.5500030517578,131.58096313476562,81772
2018-04-16,132.0,132.0,128.8000030517578,129.10000610351562,128.15618896484375,202623
2018-04-17,129.10000610351562,134.8000030517578,129.0,134.4499969482422,133.46707153320312,466348
2018-04-18,134.10000610351562,136.10000610351562,132.14999389648438,134.14999389648438,133.16925048828125,210947
2018-04-19,134.14999389648438,134.6999969482422,132.0,132.85000610351562,131.87876892089844,308019
2018-04-20,133.0,133.0,130.5500030517578,130.64999389648438,129.69483947753906,263789
2018-04-23,131.0,133.0,130.64999389648438,130.89999389648438,129.94302368164062,197893
2018-04-24,131.10000610351562,133.14999389648438,131.10000610351562,131.9499969482422,130.98533630371094,397184
2018-04-25,131.8000030517578,131.8000030517578,123.5,125.30000305175781,124.38396453857422,658486
2018-04-26,125.0,126.1500015258789,122.05000305175781,123.5,122.59712219238281,536347
2018-04-27,123.44999694824219,130.8000030517578,122.0,128.39999389648438,127.46129608154297,414709
2018-05-02,127.0,127.5,122.1500015258789,122.5,121.60443115234375,478809
2018-05-03,122.0,123.0,118.5,119.3499984741211,118.47746276855469,714505
2018-05-04,120.0,125.94999694824219,113.0,115.05000305175781,114.20890045166016,913015
2018-05-07,116.0,118.0,109.0,109.69999694824219,109.69999694824219,650892
2018-05-08,108.0,113.5,103.0,104.44999694824219,104.44999694824219,2207435
2018-05-09,107.0,114.5,107.0,114.19999694824219,114.19999694824219,906292
2018-05-10,117.0,121.25,116.0,120.8499984741211,120.8499984741211,825953
2018-05-11,121.0,123.6500015258789,114.0999984741211,116.9000015258789,116.9000015258789,890115
2018-05-14,114.9000015258789,115.0,108.0,112.3499984741211,112.3499984741211,2715400
2018-05-15,115.80000305175781,121.69999694824219,110.0,110.5999984741211,110.5999984741211,2946940
2018-05-16,113.5,115.0,111.19999694824219,112.80000305175781,112.80000305175781,2206886
2018-05-17,113.94999694824219,116.94999694824219,112.3499984741211,115.44999694824219,115.44999694824219,1633192
2018-05-18,117.0,117.0,114.0,114.3499984741211,114.3499984741211,941734
2018-05-21,115.0,115.5,114.0,114.44999694824219,114.44999694824219,655710
2018-05-22,115.0,115.0,110.30000305175781,111.5999984741211,111.5999984741211,697742
2018-05-23,109.9000015258789,110.69999694824219,108.0999984741211,108.4000015258789,108.4000015258789,781355
2018-05-24,107.5999984741211,111.75,106.69999694824219,107.69999694824219,107.69999694824219,477271
2018-05-28,107.69999694824219,108.5,103.0,103.75,103.75,498876
2018-05-29,103.6500015258789,106.44999694824219,100.05000305175781,102.9000015258789,102.9000015258789,963397
2018-05-30,103.30000305175781,107.0,103.30000305175781,104.5999984741211,104.5999984741211,476260
2018-05-31,106.0,107.0,103.5,105.80000305175781,105.80000305175781,373753
2018-06-01,107.0999984741211,107.9000015258789,104.5,106.19999694824219,106.19999694824219,518031
2018-06-04,108.0,114.30000305175781,108.0,113.75,113.75,1135757
2018-06-05,114.25,120.5,114.25,119.9000015258789,119.9000015258789,1714290
2018-06-06,120.0,121.0,117.5,118.5999984741211,118.5999984741211,1051455
2018-06-07,117.9000015258789,119.3499984741211,115.80000305175781,118.8499984741211,118.8499984741211,1033644
2018-06-08,125.25,127.5999984741211,121.0,127.4000015258789,127.4000015258789,1294571
2018-06-11,128.0,133.0,126.3499984741211,128.10000610351562,128.10000610351562,1139243
2018-06-12,126.5,126.80000305175781,120.69999694824219,121.05000305175781,121.05000305175781,651394
2018-06-13,119.94999694824219,120.5,116.80000305175781,117.9000015258789,117.9000015258789,966112
2018-06-14,118.0,119.0,112.69999694824219,114.5,114.5,965257
